slug,topic,title,url,source,difficulty,bucket,tracks,tags,styles,prerequisites,why_fit
advanced/approximation-and-relaxation,Advanced -> Approximation And Relaxation,Problem Set 4,https://www.cs.dartmouth.edu/~deepc/Courses/S15/Problems/prob4.pdf,Dartmouth EO249,theory,core,Approximation Algorithms,Facility Location | Integrality Gap | LP Relaxation,,,Strong LP-gap and approximation-ratio practice.
advanced/approximation-and-relaxation,Advanced -> Approximation And Relaxation,Problem Set 5,https://www.cs.dartmouth.edu/~deepc/Courses/S15/Problems/prob5.pdf,Dartmouth EO249,theory,core,Approximation Algorithms,Knapsack PTAS | Iterated Rounding | Laminar Families,,,"A particularly rich set on relaxation, rounding, and structure in approximation."
advanced/approximation-and-relaxation,Advanced -> Approximation And Relaxation,Problem Set 6,https://www.cs.dartmouth.edu/~deepc/Courses/S17/Problems/ps6.pdf,Dartmouth CS 49/149,theory,core,Approximation Algorithms,Duality | Randomized Rounding | LP,,,Excellent follow-up for duality and randomized-rounding based approximation design.
advanced/complexity-and-hardness,Advanced -> Complexity And Hardness,Problem Set 0,https://people.seas.harvard.edu/~salil/cs221/spring10/PS0.pdf,Harvard CS221,theory,core,,Search Vs Decision | Reductions | Complexity Classes,,,A clean course-quality entry point for formal complexity reasoning.
advanced/complexity-and-hardness,Advanced -> Complexity And Hardness,Problem Set 1,https://people.seas.harvard.edu/~salil/cs221/spring10/PS1.pdf,Harvard CS221,theory,core,,P-Completeness | Circuit Complexity | Factoring,,,Covers several central reductions and class-separation themes in one place.
advanced/complexity-and-hardness,Advanced -> Complexity And Hardness,Problem Set 3,https://people.seas.harvard.edu/~salil/cs221/spring10/PS3.pdf,Harvard CS221,theory,core,,PSPACE | Branching Programs | Circuit Lower Bounds,,,Very good practice for moving between models of computation.
advanced/complexity-and-hardness,Advanced -> Complexity And Hardness,Problem Set 4,https://people.seas.harvard.edu/~salil/cs221/spring10/PS4.pdf,Harvard CS221,theory,core,,Promise Problems | #P | Approximation Hardness,,,Bridges exact complexity language with counting and approximation hardness.
advanced/complexity-and-hardness,Advanced -> Complexity And Hardness,Problem Set 6,https://people.seas.harvard.edu/~salil/cs221/spring10/PS6.pdf,Harvard CS221,theory,core,,PCP | Property Testing | Hardness Of Approximation,,,"A strong advanced capstone on implications, PCPs, and testing/hardness themes."
advanced/constructive,Advanced -> Constructive,Same Parity Summands,https://codeforces.com/problemset/problem/1352/B,Codeforces,easy,core,,Math,Construction,Parity,Simple but very clean constructive decomposition logic.
advanced/constructive,Advanced -> Constructive,Snow Walking Robot,https://codeforces.com/problemset/problem/1272/B,Codeforces,easy,core,,Paths | Grid,Path Construction,Grid Moves | Cancellation,A short constructive path-building problem with neat cancellation ideas.
advanced/constructive,Advanced -> Constructive,A-B Palindrome,https://codeforces.com/problemset/problem/1512/C,Codeforces,medium,core,,Palindrome,Construction,Symmetry Reasoning,A standard constructive palindrome filling task.
advanced/constructive,Advanced -> Constructive,Build the Permutation,https://codeforces.com/problemset/problem/1608/B,Codeforces,medium,core,,Permutations,Greedy Construction,Permutations | Greedy Placement,Build-a-valid-structure problems are exactly the constructive sweet spot.
advanced/constructive,Advanced -> Constructive,Corrupted Array,https://codeforces.com/problemset/problem/1512/D,Codeforces,medium,core,,Arrays,Reconstruction,Sorting | Multiset Reasoning,A good example of reconstructing hidden structure from noisy data.
advanced/constructive,Advanced -> Constructive,Beautiful Tree,https://codeforces.com/problemset/problem/2162/G,Codeforces,hard,core,,Tree Construction | Number Theory | Perfect Square,,,Shows how a constructive proof can be turned into a valid graph output under strong arithmetic constraints.
advanced/constructive,Advanced -> Constructive,Multiples and Power Differences,https://codeforces.com/problemset/problem/1485/D,Codeforces,hard,core,,Matrix Construction | Number Theory | Invariants,,,Classic constructive use of a hidden invariant to force the judge-accepted structure.
advanced/constructive,Advanced -> Constructive,Nezzar and Nice Beatmap,https://codeforces.com/problemset/problem/1477/C,Codeforces,hard,core,,Ordering | Geometry | Greedy Construction,,,"Representative output-construction problem where the hard part is discovering the structure, not maintaining data."
advanced/constructive,Advanced -> Constructive,Strange Housing,https://codeforces.com/problemset/problem/1470/D,Codeforces,hard,core,,Graph Construction | DFS,,,Good example of mixing traversal with a constructive certificate.
advanced/constructive,Advanced -> Constructive,Cycle Closing,https://codeforces.com/problemset/problem/2150/F,Codeforces,very-hard,core,,Graph Operations | Shortest Paths | Tree Structure,,,A high-end constructive problem where the implementation follows a delicate existence argument.
advanced/contest-engineering,Advanced -> Contest Engineering,Hidden Integer,https://cses.fi/problemset/task/3112,CSES,easy-medium,core,Interactive,Binary Search | Query Budget | Flushing,,,Excellent first interactive problem for disciplined I/O and query budgeting.
advanced/contest-engineering,Advanced -> Contest Engineering,Colored Chairs,https://cses.fi/problemset/task/3273,CSES,medium,core,Interactive,Parity | Binary Search | Query Budget,,,Small-query interactive problem that trains calm invariant tracking.
advanced/contest-engineering,Advanced -> Contest Engineering,Hidden Permutation,https://cses.fi/problemset/task/3139,CSES,medium,core,Interactive,Comparison Oracle | Reconstruction | Query Strategy,,,A clean interactive reconstruction problem that trains protocol handling and comparison-based strategy.
advanced/contest-engineering,Advanced -> Contest Engineering,K-th Highest Score,https://cses.fi/problemset/task/3305,CSES,medium,core,Interactive,Merge Logic | Query Strategy | Two Sorted Sources,,,Good practice for interactive strategy design under a global query cap.
advanced/contest-engineering,Advanced -> Contest Engineering,Permuted Binary Strings,https://cses.fi/problemset/task/3228,CSES,medium,core,Interactive,Bit Probing | Reconstruction | Query Design,,,A reconstruction problem that rewards careful experiment design.
advanced/contest-engineering,Advanced -> Contest Engineering,Inversion Sorting,https://cses.fi/problemset/task/3140,CSES,hard,core,Interactive,Sorting By Feedback | Adaptive Strategy | Interaction Protocol,,,Great later-stage interactive practice where the judge feedback is indirect.
advanced/optimization-and-duality,Advanced -> Optimization And Duality,Giant Pizza,https://cses.fi/problemset/task/1684,CSES,medium,core,,2-SAT | Constraint Satisfaction,Logical Modeling,2-SAT | Implication Graphs,A good example of optimizing by encoding constraints into a solvable dual structure.
advanced/optimization-and-duality,Advanced -> Optimization And Duality,Police Chase,https://cses.fi/problemset/task/1695,CSES,medium,core,,Minimum Cut | Certificate | Flow Dual,,,Makes the cut side of flow duality explicit.
advanced/optimization-and-duality,Advanced -> Optimization And Duality,School Dance,https://cses.fi/problemset/task/1696,CSES,medium,core,,Matching | Bipartite Graphs | Flow | Bipartite Graph,Augmenting Paths,Bipartite Matching,A very approachable gateway into max-flow / matching duality.
advanced/optimization-and-duality,Advanced -> Optimization And Duality,Distinct Routes,https://cses.fi/problemset/task/1711,CSES,hard,core,,Edge-Disjoint Paths | Flow Decomposition | Packing,,,A strong path-packing formulation that broadens optimization modeling.
advanced/optimization-and-duality,Advanced -> Optimization And Duality,Download Speed,https://cses.fi/problemset/task/1694,CSES,hard,challenge,,Max Flow | Min Cut | Network Optimization | Duality Intuition,Flow Modeling,Max Flow | Min Cut,Max-flow/min-cut duality is the core lesson of this problem.
advanced/optimization-and-duality,Advanced -> Optimization And Duality,Task Assignment,https://cses.fi/problemset/task/2129,CSES,hard,challenge,,Assignment | Min-Cost Optimization | Min-Cost Flow | Bipartite Optimization,Exact Optimization,Matching | Cost Matrices,A textbook assignment problem with a natural dual interpretation.
advanced/randomized-algorithms,Advanced -> Randomized Algorithms,Problem Set 1,https://www.cs.utexas.edu/~ecprice/courses/randomized/fa19/psets/randomized-ps1.pdf,UT Austin CS388R,theory,core,,Min-Cut | Sampling | Expected Complexity,,,A strong theory-first warmup on randomized design and analysis from an algorithms course.
advanced/randomized-algorithms,Advanced -> Randomized Algorithms,Problem with Random Tests,https://codeforces.com/problemset/problem/1743/D,Codeforces,hard,challenge,,Probability | Adversarial Tests,Probabilistic Reasoning,Expected Value | Randomized Thinking,A direct fit for understanding how random testing interacts with algorithm design.
advanced/randomized-algorithms,Advanced -> Randomized Algorithms,Wizards and Huge Prize,https://codeforces.com/problemset/problem/105/B,Codeforces,hard,challenge,,Probability | Randomization | Expected Value,Probabilistic Model,Probability Basics,A classic probability-heavy contest problem.
advanced/randomized-algorithms,Advanced -> Randomized Algorithms,Gosha is hunting,https://codeforces.com/problemset/problem/739/E,Codeforces,very-hard,challenge,,Probability | Randomization | Expected Value,Stochastic Analysis,Probability | DP,A high-end probabilistic problem that rewards careful randomized analysis.
advanced/randomized-algorithms,Advanced -> Randomized Algorithms,Isaac's Queries,https://codeforces.com/problemset/problem/2157/G,Codeforces,very-hard,challenge,,Probability | Interactive,Interactive Reasoning,Probability | Interactive Protocols,A modern hard problem where randomness and interaction both matter.
advanced/randomized-algorithms,Advanced -> Randomized Algorithms,Journey,https://codeforces.com/problemset/problem/839/C,Codeforces,medium,cross-topic,Tree Expectation | Expected Value,Tree DFS | Probability,DFS Expectation,Tree DFS | Basic Probability,"A friendly bridge from tree DFS into expectation, best framed here as cross-topic probability practice."
advanced/randomized-algorithms,Advanced -> Randomized Algorithms,Control of Randomness,https://codeforces.com/problemset/problem/2040/E,Codeforces,hard,cross-topic,Probability On Trees | Tree DP,Probability | Expected Process,Tree DP | Case Analysis,Basic Probability,Better treated as a cross-topic probability-on-trees exercise than as a pure randomized-design core problem.
advanced/randomized-algorithms,Advanced -> Randomized Algorithms,I Love Balls,https://codeforces.com/problemset/problem/1983/E,Codeforces,hard,cross-topic,Probability DP | Expected Value,Game Process,State Expectation,Basic Probability | DP States,A strong cross-topic expectation/DP problem that supports randomized-thinking practice without being a randomized-design essential.
advanced/randomized-algorithms,Advanced -> Randomized Algorithms,Expected Value Again,https://codeforces.com/problemset/problem/1205/E,Codeforces,very-hard,cross-topic,Combinatorial Expectation | Expected Value,Combinatorics,Counting | Expectation Analysis,Basic Probability | Combinatorics,A very hard cross-topic expectation/combinatorics exercise rather than a primary randomized-algorithms core item.
combinatorics/bounded-compositions,Combinatorics -> Bounded Compositions,Coins,https://atcoder.jp/contests/abc087/tasks/abc087_b,AtCoder,easy,core,Coin-Change,Bounded Composition | Coin Sums,Brute Force | Counting,Nested Loops | Case Analysis,A tiny bounded-composition problem where all constraints are small enough to enumerate.
combinatorics/bounded-compositions,Combinatorics -> Bounded Compositions,Distributing Apples,https://cses.fi/problemset/task/1716,CSES,easy-medium,core,Stars-And-Bars | Bounded Counting,Nonnegative Parts | Combinations,Math | Combinatorics,Combinations,The cleanest unconstrained composition baseline.
combinatorics/bounded-compositions,Combinatorics -> Bounded Compositions,M - Candies,https://atcoder.jp/contests/dp/tasks/dp_m,AtCoder,medium,core,Prefix DP,Upper Bounds | Children And Candies | DP,,,A canonical bounded-distribution DP.
combinatorics/bounded-compositions,Combinatorics -> Bounded Compositions,D - Between Two Arrays,https://atcoder.jp/contests/abc222/tasks/abc222_d,AtCoder,hard,core,Prefix DP,Nondecreasing Arrays | Range Bounds | Mod 998244353,,,Counting bounded monotone sequences with DP.
combinatorics/bounded-compositions,Combinatorics -> Bounded Compositions,How Many Ways?,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_br,AtCoder,medium,practice,Triple-Counting,Triples | Sum Constraint,Counting | Brute Force,Case Analysis | Sum Constraints,A small but useful constrained-composition style problem over ordered triples.
combinatorics/bounded-compositions,Combinatorics -> Bounded Compositions,Tak and Cards,https://atcoder.jp/contests/abc044/tasks/arc060_a,AtCoder,medium,practice,Subset Sum,Sum Constraints | Card Selection,DP | Counting,Cardinality Constraints,A good bridge from composition thinking to constrained subset counting.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Bit Strings,https://cses.fi/problemset/task/1617,CSES,easy,core,Basic Counting | Mod Arithmetic,Powers Of Two,,,The simplest counting-by-choices starter.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Choose Cards 1,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_s,AtCoder,easy,core,Pair-Counting,Pairs,Implementation | Counting,Basic Counting | Frequency Arrays,A very direct counting warm-up with only frequency bookkeeping.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Choose Cards 3,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_v,AtCoder,easy,core,Pair-Counting,Two-Sum | Frequency Counting,Implementation | Counting,Frequency Arrays | Complement Counting,A great basic complement-counting exercise with a fixed target sum.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Combination Easy,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_u,AtCoder,easy,core,Binomial-Coefficients,Ncr,Math,Factorials | Combinations,A pure combinatorics starter that isolates nCr without any hidden twists.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Two Knights,https://cses.fi/problemset/task/1072,CSES,easy,core,,Board Counting | Pair Counting | Formula,,,Classic counting-by-cases on a board.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Binomial Coefficients,https://cses.fi/problemset/task/1079,CSES,medium,core,Modular-Arithmetic,Ncr | Factorials | Modular Inverse,Math | Precomputation,Factorials | Modular Inverse,The standard modular-combinatorics benchmark for factorial precomputation.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Choose Cards 2,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_t,AtCoder,medium,core,Subset-Counting,Meet-In-The-Middle,Search | Counting,Subset Enumeration | Sum Constraints,A classic counting-by-subsets problem that sits between brute force and combinatorics.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Creating Strings II,https://cses.fi/problemset/task/1715,CSES,medium,core,Multiset Permutations,Factorials,Math | Precomputation,Multiset Counting | Modular Arithmetic,A textbook multinomial-counting problem with duplicate letters.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Two Sets II,https://cses.fi/problemset/task/1093,CSES,medium,core,DP,Partitions | Subset Sum | Mod Arithmetic,,,Nice introductory partition-counting problem.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Christmas Party,https://cses.fi/problemset/task/1717,CSES,medium,practice,Derangements,Derangements | Inclusion-Exclusion,Combinatorics | DP,Basic Counting | Inclusion-Exclusion,A classic derangement/counting problem that is good practice for constrained permutations.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Distributing Apples,https://cses.fi/problemset/task/1716,CSES,medium,practice,Stars-And-Bars,Compositions | Combinations | Mod Arithmetic,Math | Combinatorics,Combinations,A canonical stars-and-bars problem and a clean step toward distributions with constraints.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Counting Necklaces,https://cses.fi/problemset/task/2209,CSES,hard,stretch,Group-Actions,Burnside | Pólya,Combinatorics,Modular Arithmetic,A more advanced counting benchmark that moves from raw counting into symmetry.
combinatorics/counting-basics,Combinatorics -> Counting Basics,Counting Permutations,https://cses.fi/problemset/task/1075,CSES,hard,stretch,Permutation-Counting | Inclusion-Style Counting,Permutations | Adjacency Constraints | Adjacency Restriction | Beautiful Permutations,DP | Combinatorics,Inclusion-Exclusion Mindset,A stronger permutation-counting problem with a clean but nontrivial constraint.
combinatorics/inclusion-exclusion,Combinatorics -> Inclusion-Exclusion,Christmas Party,https://cses.fi/problemset/task/1717,CSES,medium,core,Derangements,Fixed Points | Permutations | Mod Arithmetic,,,A textbook derangement / inclusion-exclusion task.
combinatorics/inclusion-exclusion,Combinatorics -> Inclusion-Exclusion,Prime Multiples,https://cses.fi/problemset/task/2185,CSES,medium,core,Number Theory | Subset Counting,Multiples | Primes | Prime Set | LCM,Math | Enumeration,Inclusion-Exclusion | LCM Reasoning,Direct inclusion-exclusion over prime subsets.
combinatorics/inclusion-exclusion,Combinatorics -> Inclusion-Exclusion,Counting Coprime Pairs,https://cses.fi/problemset/task/2417,CSES,medium-hard,core,Mobius | Mobius Inversion,Coprime Pairs | GCD 1 | Pair Counting | Number Theory,Number Theory | Sieving,Inclusion-Exclusion | Divisor Counting,Mobius-inversion version of inclusion-exclusion on gcds.
combinatorics/inclusion-exclusion,Combinatorics -> Inclusion-Exclusion,Coprime,https://codeforces.com/problemset/problem/1742/D,Codeforces,medium,practice,GCD,Coprime | Number Theory,Number Theory | Greedy,Pair Reasoning,A lighter coprimality exercise that still rewards divisor-set reasoning.
combinatorics/inclusion-exclusion,Combinatorics -> Inclusion-Exclusion,Coprime Subsequences,https://codeforces.com/problemset/problem/803/F,Codeforces,hard,stretch,Mobius,Subsequences | Number Theory,Combinatorics | Number Theory,Inclusion-Exclusion | Prime Factorization,A strong advanced example where inclusion-exclusion is the heart of the solution.
combinatorics/inclusion-exclusion,Combinatorics -> Inclusion-Exclusion,Counting Necklaces,https://cses.fi/problemset/task/2209,CSES,hard,cross-topic,Burnside | Symmetry Counting,Orbit Counting | Pólya | Rotations,,,"Not pure IE, but a strong neighboring symmetry-counting problem."
combinatorics/lexicographic-enumeration,Combinatorics -> Lexicographic Enumeration,Count Order,https://atcoder.jp/contests/abc150/tasks/abc150_c,AtCoder,easy,core,Permutation Ranking,Permutations | Lexicographic Rank,Math | Permutation,Factorials | Permutation Order,"The textbook k-th-permutation problem, ideal for rank/unrank practice."
combinatorics/lexicographic-enumeration,Combinatorics -> Lexicographic Enumeration,Creating Strings,https://cses.fi/problemset/task/1622,CSES,easy,core,Multiset Permutations | Lexicographic Order,Duplicate Permutations | Generation | Sorting,Backtracking | Enumeration,Sorting | Multisets,A classic generation task that teaches lexicographic enumeration of unique strings.
combinatorics/lexicographic-enumeration,Combinatorics -> Lexicographic Enumeration,C - One More aab aba baa,https://atcoder.jp/contests/abc215/tasks/abc215_c,AtCoder,medium,core,Multiset Permutations,K-Th Permutation | Duplicate Letters | Sorting,,,Classic k-th lexicographic permutation of a multiset string.
combinatorics/lexicographic-enumeration,Combinatorics -> Lexicographic Enumeration,Permutation Order,https://cses.fi/problemset/task/3397,CSES,medium,core,Permutation Ranking | Lexicographic Order,K-Th Permutation | Factoradic | Inverse Permutation Order,Implementation | Math,Factorials,A direct bidirectional rank/unrank permutation problem with multiple query types.
combinatorics/lexicographic-enumeration,Combinatorics -> Lexicographic Enumeration,Creating Strings II,https://cses.fi/problemset/task/1715,CSES,medium,practice,Multiset Permutations | Ranking And Counting | Lexicographic Combinatorics,Counting Strings | Factorials | Mod Arithmetic,Math | Precomputation,Multinomial Counting | Lexicographic Order,Useful if you want both counting and ordering over repeated characters.
combinatorics/lexicographic-enumeration,Combinatorics -> Lexicographic Enumeration,Lexicographically Smallest Permutation,https://atcoder.jp/contests/abc371/tasks/abc371_g,AtCoder,hard,stretch,Permutation-Cycles,Lexicographic Order | Permutations | Cycle Decomposition,Construction | Greedy,Permutations | Cycle Decomposition | Lexicographic Order,A strong advanced permutation problem where lexicographic minimization is the central goal.
combinatorics/lexicographic-enumeration,Combinatorics -> Lexicographic Enumeration,Reverse and Count,https://atcoder.jp/contests/arc160/tasks/arc160_a,AtCoder,hard,stretch,Permutation Ranking,Lexicographic Order,Construction | Combinatorics,Lexicographic Order,A more specialized lexicographic ranking problem with a nice combinatorial twist.
data-structures/binary-trie-xor,Data Structures -> Binary Trie / XOR Queries,Vasiliy's Multiset,https://codeforces.com/problemset/problem/706/D,Codeforces,medium,core,Binary Trie | XOR Queries,Dynamic-Multiset | Maximum-XOR,Data-Structure-Heavy | Bitwise,Bitwise Prefix Walk | Subtree Counts | Dynamic Multiset,"The cleanest first dynamic benchmark where insert, erase-one, and maximum-xor queries are the whole problem."
data-structures/binary-trie-xor,Data Structures -> Binary Trie / XOR Queries,SUBXOR,https://www.spoj.com/problems/SUBXOR/,SPOJ,hard,stretch,Binary Trie | Counting Variant | Classic,Prefix-XOR | Counting,Bitwise | Classic,Prefix XOR | Bitwise Counting,A classic stretch problem showing that the same family extends beyond maximum-xor queries into richer counting variants.
data-structures/binary-trie-xor,Data Structures -> Binary Trie / XOR Queries,Maximum Xor Subarray,https://cses.fi/problemset/task/1655,CSES,hard,bridge,Bitwise Operations | Prefix XOR | Binary Trie,Maximum-XOR,Bitwise | Array Transformation,Maximum XOR Query,The canonical bridge from one dynamic xor set to prefix-xor scans over an array.
data-structures/dsu,Data Structures -> DSU,Disjoint Set Union I,https://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=DSL_1_A&lang=en,AOJ,easy,warm-up,,Intro | Online-Judge,Implementation-Heavy,DSU Basics | Component Representatives,A classic AOJ DSU starter that is ideal for practicing the raw union-find interface.
data-structures/dsu,Data Structures -> DSU,Building Roads,https://cses.fi/problemset/task/1666,CSES,easy,core,,Components | Connectivity,Data-Structure-Heavy | Implementation-Heavy,Connected Components | Union-Find Basics | Graphs,A friendly first DSU problem for merging components and counting how many remain.
data-structures/dsu,Data Structures -> DSU,Road Construction,https://cses.fi/problemset/task/1676,CSES,easy,core,,Dynamic-Connectivity | Largest-Component | Component-Size,Data-Structure-Heavy,DSU | Component Sizes | Amortized Complexity,A classic DSU exercise with incremental edge additions and size tracking.
data-structures/dsu,Data Structures -> DSU,Road Reparation,https://cses.fi/problemset/task/1675,CSES,medium,classic,,Minimum-Spanning-Tree | Kruskal | MST,Greedy-Heavy | Data-Structure-Heavy,DSU | MST | Sorting Edges,A canonical Kruskal benchmark that shows DSU in its most common graph role.
data-structures/dsu,Data Structures -> DSU,Union Find,https://judge.yosupo.jp/problem/unionfind,Library Checker,medium,classic,,Connectivity,Data-Structure-Heavy,Path Compression | Union By Size | Online Queries,A clean official benchmark for validating a DSU implementation against a trusted judge.
data-structures/dsu-rollback,Data Structures -> DSU Rollback / Offline Dynamic Connectivity,Dynamic Connectivity,https://cses.fi/problemset/task/2133,CSES,hard,core,Advanced Techniques | Dynamic Connectivity,Rollback-DSU | Segment-Tree-Over-Time | Component-Count,Offline | Data-Structure-Heavy | Timeline Modeling,DSU | Offline Reasoning | Half-Open Intervals,"The cleanest first exact benchmark for edge-lifetime intervals, rollback DSU, and component answers at every time state."
data-structures/dsu-rollback,Data Structures -> DSU Rollback / Offline Dynamic Connectivity,Dynamic Graph Vertex Add Component Sum,https://judge.yosupo.jp/problem/dynamic_graph_vertex_add_component_sum,Library Checker,hard,stretch,Dynamic Connectivity,Rollback-DSU | Segment-Tree-Over-Time | Component Metadata,Offline | Verification | Data-Structure-Heavy,Rollback DSU | Component Metadata | Offline Dynamic Connectivity,A strong next-step verifier once rollback connectivity itself is trusted and component-value aggregation becomes the new difficulty.
data-structures/fenwick-tree,Data Structures -> Fenwick Tree,Dynamic Range Sum Queries,https://cses.fi/problemset/task/1648,CSES,medium,core,,Point-Update | Range-Sum,Data-Structure-Heavy | Query-Heavy,Prefix Sums | Point Updates | Binary Indexed Tree,A standard first Fenwick-tree task with point updates and range sums.
data-structures/fenwick-tree,Data Structures -> Fenwick Tree,Range Update Queries,https://cses.fi/problemset/task/1651,CSES,medium,core,,Difference Array | Range-Update | Range-Add,Data-Structure-Heavy,Difference Arrays | Prefix Sums | Fenwick Tree Basics,A good bridge between difference arrays and Fenwick-style prefix maintenance.
data-structures/fenwick-tree,Data Structures -> Fenwick Tree,Point Add Range Sum,https://judge.yosupo.jp/problem/point_add_range_sum,Library Checker,medium,classic,,Range-Sum,Query-Heavy | Data-Structure-Heavy,Fenwick Tree | Point Updates | Prefix Sums,A concise official benchmark for the core Fenwick use case.
data-structures/fenwick-tree,Data Structures -> Fenwick Tree,Salary Queries,https://cses.fi/problemset/task/1144,CSES,medium,classic,,Coordinate-Compression | Range-Count | Compression | Rank-Query,Query-Heavy | Data-Structure-Heavy,Fenwick Tree | Coordinate Compression | Frequency Counting,A canonical frequency-query problem where Fenwick trees shine after compression.
data-structures/fenwick-tree,Data Structures -> Fenwick Tree,Forest Queries II,https://cses.fi/problemset/task/1739,CSES,hard,advanced,,2D-Fenwick | Rectangle-Query | Grid-Updates | Grid | Point-Update,Data-Structure-Heavy | Cross-Topic,Fenwick Tree | 2D Grids | Rectangle Sums,A strong advanced benchmark for extending Fenwick ideas into two dimensions.
data-structures/fenwick-tree,Data Structures -> Fenwick Tree,Range Add Range Sum,https://judge.yosupo.jp/problem/range_add_range_sum,Library Checker,hard,advanced,,Range-Update,Query-Heavy | Data-Structure-Heavy,Fenwick Tree Tricks | Difference Arrays | Range Sums,A strong benchmark for the classic two-Fenwick range-add/range-sum pattern.
data-structures/heaps-and-ordered-sets,Data Structures -> Heaps And Ordered Sets,Restaurant Customers,https://cses.fi/problemset/task/1619,CSES,easy,core,,Events | Sweep Line | Maximum-Overlap,Modeling-Heavy,Sorting | Event Sweeps | Prefix Counts,A simple and popular event-processing problem that pairs naturally with ordered scans.
data-structures/heaps-and-ordered-sets,Data Structures -> Heaps And Ordered Sets,Room Allocation,https://cses.fi/problemset/task/1164,CSES,medium,core,,Priority-Queue | Interval-Scheduling | Assignment,Greedy-Heavy | Data-Structure-Heavy,Priority Queues | Sorting | Interval Scheduling,A classic heap-based assignment problem with a very practical greedy pattern.
data-structures/heaps-and-ordered-sets,Data Structures -> Heaps And Ordered Sets,Movie Festival II,https://cses.fi/problemset/task/1632,CSES,hard,core,,Multiset | K-Members,,,A canonical multi-assign scheduling problem.
